================================================================================
K线序列模式统计（从首次涨停到信号日）
共 324 笔有效交易，224 种不同模式
================================================================================

K线序列                                               样本数      胜率       平均收益       盈亏比      期望值       
大实体-一字板-中实体-中实体-大实体                                2          50.0%     +0.66%    1.43     +0.66%
一字板-中实体                                            2          50.0%     -0.33%    0.38     -0.33%
大实体-一字板-一字板-一字板-大实体-大实体                            2          50.0%     -0.44%    0.77     -0.44%
大实体-大实体-小实体                                        2          50.0%     -1.58%    0.74     -1.58%
一字板-大实体-大实体                                        2           0.0%     -3.04%    0.00     -3.04%
大实体-中实体-一字板                                        2          50.0%     -4.72%    0.44     -4.72%
大实体-小实体-一字板-大实体                                    2          50.0%     -5.16%    0.46     -5.16%
一字板-一字板-一字板-一字板-小实体                                2          50.0%     -6.53%    0.03     -6.53%
一字板-一字板-一字板-一字板-一字板                                2          50.0%     -7.18%    0.22     -7.18%
大实体-大实体-中实体-大实体-大实体                                2          50.0%     -7.53%    0.23     -7.53%
大实体-一字板-中实体-一字板-一字板-大实体                            2           0.0%    -12.91%    0.00    -12.91%
大实体-大实体-大实体-大实体                                    2           0.0%    -13.98%    0.00    -13.98%
大实体-中实体-一字板-中实体-大实体                                2           0.0%    -14.94%    0.00    -14.94%
一字板-一字板-一字板-一字板-大实体                                2           0.0%    -17.80%    0.00    -17.80%
大实体-大实体-一字板-大实体-大实体-大实体                            1         100.0%    +54.67%    0.00    +54.67%
大实体-小实体-大实体-大实体                                    1         100.0%    +53.44%    0.00    +53.44%
一字板-一字板-一字板-中实体                                    1         100.0%    +44.37%    0.00    +44.37%
大实体-中实体-中实体-大实体                                    1         100.0%    +33.11%    0.00    +33.11%
大实体-大实体-一字板-一字板-一字板-一字板-大实体                        1         100.0%    +29.08%    0.00    +29.08%
中实体-大实体-大实体-大实体                                    1         100.0%    +28.56%    0.00    +28.56%
中实体-中实体-中实体                                        1         100.0%    +28.56%    0.00    +28.56%
一字板-一字板-一字板                                        1         100.0%    +28.17%    0.00    +28.17%
大实体-小实体-小实体                                        1         100.0%    +27.25%    0.00    +27.25%
大实体-一字板-中实体-中实体                                    1         100.0%    +19.76%    0.00    +19.76%
大实体-大实体-小实体-一字板-大实体-大实体                            1         100.0%    +18.31%    0.00    +18.31%
大实体-大实体-一字板                                        1         100.0%    +16.03%    0.00    +16.03%
一字板-一字板-一字板-小实体-大实体                                1         100.0%    +15.87%    0.00    +15.87%
